Drug_targetID,UniProt_ID,DrugBank_ID
DT1,P45059,DB00303
DT2,P19113,DB00114
DT3,P19113, DB00117
DT4,Q9UI32,DB00142
DT5,P00488,DB02340
DT6,P00488, DB11300
DT7,P00488, DB11311
DT8,P00488, DB11571
DT9,P00488, DB13151
DT10,P35228,DB00125
DT11,P35228, DB00155
DT12,P35228, DB00244
DT13,P35228, DB01017
DT14,P35228, DB01110
DT15,P35228, DB01234
DT16,P35228, DB01381
DT17,P35228, DB01686
DT18,P35228, DB01835
DT19,P35228, DB01997
DT20,P35228, DB02044
DT21,P35228, DB02207
DT22,P35228, DB02234
DT23,P35228, DB02462
DT24,P35228, DB02644
DT25,P35228, DB03100
DT26,P35228, DB03144
DT27,P35228, DB03366
DT28,P35228, DB03449
DT29,P35228, DB03953
DT30,P35228, DB04400
DT31,P35228, DB04534
DT32,P35228, DB05214
DT33,P35228, DB05252
DT34,P35228, DB05383
DT35,P35228, DB06879
DT36,P35228, DB06916
DT37,P35228, DB07002
DT38,P35228, DB07003
DT39,P35228, DB07007
DT40,P35228, DB07008
DT41,P35228, DB07011
DT42,P35228, DB07029
DT43,P35228, DB07306
DT44,P35228, DB07318
DT45,P35228, DB07388
DT46,P35228, DB07389
DT47,P35228, DB07405
DT48,P35228, DB08214
DT49,P35228, DB08750
DT50,P35228, DB08814
DT51,P35228, DB09237
DT52,P35228, DB11327
DT53,P35228, DB14649
DT54,P37059,DB00157
DT55,P37059, DB13952
DT56,P37059, DB13953
DT57,P37059, DB13954
DT58,P37059, DB13955
DT59,P37059, DB13956
DT60,Q13423,DB00157
DT61,Q13423, DB01763
DT62,Q13423, DB03461
DT63,Q13423, DB09092
DT64,P11766,DB00157
DT65,P11766, DB03017
DT66,P11766, DB03704
DT67,P11766, DB04153
DT68,P48728,DB00116
DT69,P48728, DB00157
DT70,P48728, DB04789
DT71,P50213,DB00157
DT72,P50213, DB06757
DT73,P50213, DB09092
DT74,P50213, DB09130
DT75,Q9P0X4,DB00381
DT76,Q9P0X4, DB00568
DT77,Q9P0X4, DB00617
DT78,Q9P0X4, DB00622
DT79,Q9P0X4, DB00909
DT80,Q9P0X4, DB01118
DT81,Q9P0X4, DB01388
DT82,Q9P0X4, DB04841
DT83,Q9P0X4, DB06152
DT84,Q9P0X4, DB06712
DT85,Q9P0X4, DB09061
DT86,Q9P0X4, DB09235
DT87,Q9P0X4, DB09238
DT88,Q9P0X4, DB14009
DT89,Q9P0X4, DB14011
DT90,P30542,DB00193
DT91,P30542, DB00201
DT92,P30542, DB00277
DT93,P30542, DB00555
DT94,P30542, DB00640
DT95,P30542, DB00651
DT96,P30542, DB00806
DT97,P30542, DB00824
DT98,P30542, DB00996
DT99,P30542, DB01223
DT100,P30542, DB01303
DT101,P30542, DB01412
